FOOD_CODE,NUTRIENT,QUANTITY
17041,002,0
17041,005,-99
17041,008,-99
17041,009,-99
17041,011,0
17041,012,0
17041,013,-99
17041,015,0.01
17041,020,0
17042,001,0
17042,002,0
17042,005,-99
17042,008,-99
17042,009,-99
17042,011,0
17042,012,0
17042,013,-99
17042,015,-99
17042,020,0
17043,001,0
17043,002,0
17043,005,-99
17043,008,10
17043,009,-99
17043,011,0
17043,012,0
17043,013,-88
17043,015,-99
17043,020,0
17044,001,0
17044,002,0
17044,005,-99
17044,008,-99
17044,009,-99
17044,011,0
17044,012,0
17044,013,-99
17044,015,0.01
17044,020,0
17045,001,0
17045,002,0
17045,005,-99
17045,008,-99
17045,009,-99
17045,011,0
17045,012,0
17045,013,-99
17045,015,0.01
17045,020,0
17046,001,0
17046,002,0
17046,005,-99
17046,008,-99
17046,009,-99
17046,011,0
17046,012,0
17046,013,-99
17046,015,-99
17046,020,0
17047,001,0
17047,002,0
17047,005,-99
17047,008,-99
17047,009,-99
17047,011,0
17047,012,0
17047,013,-99
17047,015,-99
17047,020,0
17063,001,0
17063,002,0
17063,005,0
17063,008,10
17063,009,0
17063,011,105
17063,012,0
17063,013,-99
17063,015,0.12
17063,020,0
17073,001,0
17073,002,0
17073,005,-99
17073,008,12
17073,009,-99
17073,011,69
17073,012,0
17073,013,9
