"CODE","ALT"
59,"NEALSYARDORGANIC"
59,"NESSA"
59,"NESTLEKELLOGS"
59,"NESTLESSAINSBURYSSAFEWA"
59,"NESTLYTESCO"
59,"NO"
59,"NOADDEDSALTNOADDEDS"
59,"NOADDEDSALTSUGAR"
59,"NOADDEDSUGA"
59,"NOBRANDDAILYBREAD"
59,"NOCEREALS"
59,"NOMILKIUSEJUICE"
59,"NONBRANDON"
59,"NONE"
59,"NONEINPARTICULAR"
59,"NONSPECIFIC"
59,"NOOTHER"
59,"NOREFERENCE"
59,"NORMAL"
59,"NORTHERNEDGEINTERNATION"
59,"NOSUGARNOSALTUSUALLY"
